L_tokens,n_fragments,policy,cost_tokens,recall
50000,8,PURE-RLM,71754.4,0.939
50000,8,PURE-FOLD,51436.0,0.714
50000,8,HRCF,69404.0,0.954
50000,32,PURE-RLM,77019.0,0.793
50000,32,PURE-FOLD,55745.0,0.8
50000,32,HRCF,64848.2,0.938
50000,128,PURE-RLM,98067.6,0.816
50000,128,PURE-FOLD,72974.0,0.786
50000,128,HRCF,86368.4,0.94
200000,8,PURE-RLM,284615.8,0.834
200000,8,PURE-FOLD,201437.0,0.767
200000,8,HRCF,242568.2,0.939
200000,32,PURE-RLM,287017.6,0.861
200000,32,PURE-FOLD,205744.0,0.754
200000,32,HRCF,254898.4,0.943
200000,128,PURE-RLM,308073.2,0.837
200000,128,PURE-FOLD,222978.0,0.77
200000,128,HRCF,269491.2,0.941
500000,8,PURE-RLM,712753.0,0.882
500000,8,PURE-FOLD,501435.0,0.743
500000,8,HRCF,644493.4,0.946
500000,32,PURE-RLM,710094.8,0.865
500000,32,PURE-FOLD,505742.0,0.748
500000,32,HRCF,627504.4,0.942
500000,128,PURE-RLM,728069.0,0.838
500000,128,PURE-FOLD,522975.0,0.772
500000,128,HRCF,636591.4,0.943
1000000,8,PURE-RLM,1426615.8,0.804
1000000,8,PURE-FOLD,1001437.0,0.771
1000000,8,HRCF,1140104.6,0.931
1000000,32,PURE-RLM,1423514.8,0.832
1000000,32,PURE-FOLD,1005742.0,0.783
1000000,32,HRCF,1244969.6,0.945
1000000,128,PURE-RLM,1428066.2,0.833
1000000,128,PURE-FOLD,1022973.0,0.779
1000000,128,HRCF,1248667.4,0.944
2000000,8,PURE-RLM,2853893.0,0.834
2000000,8,PURE-FOLD,2001435.0,0.792
2000000,8,HRCF,2537025.0,0.949
2000000,32,PURE-RLM,2851017.6,0.851
2000000,32,PURE-FOLD,2005744.0,0.764
2000000,32,HRCF,2506672.4,0.944
2000000,128,PURE-RLM,2841494.6,0.807
2000000,128,PURE-FOLD,2022979.0,0.792
2000000,128,HRCF,2396602.2,0.94
